title,denomination,year,action,reason
인터콥최바울,기하성,2021,예의주시 및 참여금지,
임보라섬돌향린교회,고신,2017/67,참여금지,"신론, 동성애, 구원론 등"
임보라섬돌향린교회,합동,2017/102,참여금지,동성애 관련 비성경적인 사상 매우 농후
임보라섬돌향린교회,합신,2017/102,이단,"하나님의 성, 동성애,다원주의적 구원론, 안식일 왜곡"
임보라섬돌향린교회,백석대신,2018/103,이단,"신론적 이단성, 동성애를 성경적이라고 주장가원론적 이단성, 안식일의 의미 왜곡"
임보라섬돌향린교회,통합,2018/103,"비성경적, 이단성",성경에 대한 자의석 해석 및동성애 사상 문제
장재형(장다윗),통합,2009/94,예의주시 경계,"통일교신도(핵심인사),재림주 의혹문제"
장재형(장다윗),합신,2009/94,참여 및 교류금지,"통일교 전력문제, 재림주 의혹사건, 성경의 자의적 비유풀이 등"
장재형(장다윗),합신,2013/98,경계·교류금지 유지,장재형씨에게 진정성이 없다고 판단
장재형(장다윗),고신,2012/62,관계금지,이단성 의혹
전광훈사랑제일교회,고신,2021/71,교류와 참여금지,이단성 있음
전광훈사랑제일교회,합동,2021/106,집회 참여 금지를 촉구,
전광훈사랑제일교회,통합,2022/107,성도들이 가급적집회첨석 하지않는 것을 권면,연설 및 정부 및 코로나19 방역 지침에관한 행동에 대한 문제점
전능하신 하나님교회동방번개,고신,2013/63,이단,"삼위일체론, 기독론, 구원관"
전능하신 하나님교회동방번개,통합,2013/98,이단사이비,"여성지도자를 그리스도로 믿음,삼위일체 부인"
전능하신 하나님교회동방번개,기감,2014/31,이단,
전능하신 하나님교회동방번개,백석대신,2018/103,이단,"성경의 완전성 부인, 충족성 부인,성경으로서는 구원받을 수 없다고 주장"
전능하신 하나님교회동방번개,합신,2018/103,이단 사이비,"계시의 연속성 주장,왜곡된 성경 해석과 짜깁기,조유산 신격화 및 양향빈 재림 예수 주장"
전능하신 하나님교회동방번개,기하성여의도,,이단,
전성훈푸른하늘교회,백석,2021/44,예의주시 및 교류금지,"김기동 귀신론,귀신은 불신자 사후의 영"
전성훈푸른하늘교회,백석,2022/45,교류금지 유지,
전태식순복음진주초대교회,합동,2005/90,"강의, 집회,예배참석금지","구원관, 예배관"
전태식순복음진주초대교회,합동,2019/104,참석금지 유지,
전태식순복음진주초대교회,합신,2018/103,참여·교류금지,"아바드 성경 주석 오류, 행위 구원,예수 그리스도의 다중 재림,불건전한 세대주의 종말론"
전태식순복음진주초대교회,합신,2019/104,참여·교류금지 유지,
정동수사랑침례교회,합동,2018/103,참여금지,"개역성경 비하 및 폄하, 구원론"
정동수사랑침례교회,합동,2019/104,참여금지 유지,
정동수사랑침례교회,합동,2020/105,참여금지 및 엄히 경계,이단성 있음
정동수사랑침례교회,합동,2021/106,참여금지 및 엄히 경계 유지,
정동수사랑침례교회,고신,2020/70,"예의주시, 교류자제",
정명석(JMS)기독교복음선교회,고신,1991/41,이단규정,
정명석(JMS)기독교복음선교회,통합,2002/87,반기독교적 이단,"성경해석, 교회 ,삼위일체, 부활,그리스도의 재림"
정명석(JMS)기독교복음선교회,합동,2008/93,이단,"성경관, 부활·재림관,?구원관 등전분야에서 반기독교적"
정명석(JMS)기독교복음선교회,기감,2014/31,이단,
정명석(JMS)기독교복음선교회,기하성여의도,,이단,
정명석(JMS)기독교복음선교회,합신기성,,,
정원헤븐교회,합신,2017/102,참여금지,"질병의 약함의 원인 마귀로 주장, 호흡기도,이교도적인 수련, 영적도해 사상"
정원헤븐교회,통합,2019/104,참여금지,악령의 왜곡 등 심각한 신학적 문제
조명호광음교회,통합,2011/96,비성서적 비기독교적이단성,"신격화, 직통계시, 환생,교회의 사업 참여 문제 등"
조종성복음중앙교회,합신,2017/102,이단,"자신을 직통계시로 우상화, 기성교회에구원과 복음이 없다는 주장, 삼위일체 부정"
조현주성경100독사관학교,합신,2008/93,이단,신천지 교리 강의
조희성영생교,고신합신,,박태선분파/이단,일고의 가치도 없음
"주종철광주주안교회, 서울주안교회새생명영성훈련원 대표",고신,2006/56,이단성,
"주종철광주주안교회, 서울주안교회새생명영성훈련원 대표",통합,2012/97,이단성 농후,"계시관, 성경관, 그리스도론,삼위일체론, 교회론, 종말론 문제"
차해경저서 『회개』,통합,2018/103,이단성,가계저주론 사상
차해경저서 『회개』,통합,2024/109,해제 요청 수용 어려움,가계저주론 철회되지 않으면 해제 불가
최온유화정복된교회작은교회연합봉사단,고신,2004/54,참여금지,
최온유화정복된교회작은교회연합봉사단,합신,2005/90,참여금지,
최온유화정복된교회작은교회연합봉사단,합동,2007/92,참여금지,"최온유 목사 신격화 우상화, 직통계시적 주장,지나치게 세속적인 헌금관 등"
퀴어신학,백석대신,2018/103,이단,
퀴어신학,합동,2020/105,이단,
퀴어신학,합동,2021/106,이단 유지,
퀴어신학,기감,2024/36,이단,
"퀴어신학(동성애, 양성애, 성전환)",통합,2018/103,이단성,"성경의 규범적 권위 무시,자의적 해석, 인본주의 신학"
크리스챤 사이언스,기성고신합동,,,
타작기이형조,통합,2014/99,"전파, 교육 금함",저자의 입장이 매우 편향되어교회에 물의를 일으킬 수 있음
타키모토 준가계저주론,고신,2012/62,초청 및 참여금지,불건전한 사상
파룬궁,합신,2018/103,사이비종교,"창시자 이홍지 자신이 삼위일체이고 구원자,파룬궁 수련자만 천국 간다는 주장"
하마성경정은수,통합,2023/108,참여자제 및 예의주시,"인본주의 성경해석, 가계저주론"
하비람장길섭하나님의 비밀을 간직한 사람들現 ALP삶의질향상센터,통합,2008/93,참석 교류 후원금지,비기독교적이고 비성서적인 주장
한국기독교총연합회,고신,2020/70,이단옹호단체,
한준명,통합,1933/22,이단으로 간주할수 있는 단체로각 노회에 주의 통첩,신비주의
홍혜선,합동,2016/101,집회참석금지,"비성경적인 거짓 예언,극단적인 신비주의, 직통계시 추종"
황규학,합신,2017/102,이단옹호자,"신천지 옹호, 이단 연구가 비난"
황판금대복기도원,통합,1993/78,사이비집단,"기복적 무속적 형태의 방언,영서, 예언 직통계시"
"회심준비론정성우, 이동훈 목사",합동,2022/107,집회참석 주의,"개혁신학과 상반되는 내용 많은 사상,보급하는 책자들 매우 경계"
D12,통합,2009/94,총회의 지도에따를 것을 권함,초신자를 전도하는 긍정적 측면이 있으나기존 남선교회와 여전도회와의 갈등유발소지 있음
G12,합동,2008/93,사용주의,
G12,통합,2009/94,총회의 지도에따를 것을 권함,초신자를 전도하는 긍정적 측면이 있으나기존 남선교회와 여전도회와의 갈등유발소지 있음
이단(옹호)언론,통합,1995/80,이단(옹호)언론,"기독저널(現 기독교평론신문),주일신문, 교회와이단(現 종교와진리)"
이단(옹호)언론,통합,2005/90,글 게재 및광고후원금지,크리스챤신문
이단(옹호)언론,통합,2009/94,이단(옹호)언론,"기독교초교파신문, 천지일보,크리스챤신문, 세계복음화신문,크리스천투데이, 교회연합신문"
이단(옹호)언론,통합,2012/97,이단(옹호)언론,복음신문
이단(옹호)언론,통합,2013/98,이단(옹호)언론,로앤처치
이단(옹호)언론,통합,2018/103,이단(옹호)언론 재확인,"교회연합신문, 크리스천투데이"
이단(옹호)언론,통합,2018/103,이단(옹호)언론,비평과 논단
이단(옹호)언론,합동,2005/90,이단옹호언론,크리스챤신문
이단(옹호)언론,합동,2016/101,"기고, 구독,광고 및 후원 금지",로앤처치
이단(옹호)언론,합신,2010/95,이단(옹호)언론,"기독교초교파신문(올댓뉴스),크리스챤신문, 세계복음화신문,크리스천투데이, 교회연합신문"
이단(옹호)언론,합신,2017/102,이단옹호언론,법과 교회
