title,denomination,year,action,reason
뜨레스디아스,합동,2006/91,엄히경계 재확인,천주교적 요소 농후
뜨레스디아스,통합,1995/80,목회자 추천받도록,"인위적 요소,파당 형성 이단이 활용"
뜨레스디아스,통합,2002/87,불건전단체의프로그램 참석 금지,"긍정적, 부정적 측면이 있음"
레노바레 운동,합신,2011/96,참여금지,위험
로마(천주)교회,통합,2014/99,다른 전통을고수하는 교회,교리적으로 이단적인 요소가 있지만다른 이단 집단과 같다고 하기에 무리가 있음
"류광수세계복음화전도협회, 다락방",고려,1995/45,비성경성,"유사기독교운동, 사이비기독교운동"
"류광수세계복음화전도협회, 다락방",고신,1995/45,관련자 적절한 권징,
"류광수세계복음화전도협회, 다락방",고신,1997/47,불건전 운동,
"류광수세계복음화전도협회, 다락방",고신,2013/63,이단유지,잘못을 고치겠다고 했으나 좀 더 지켜보기로 함
"류광수세계복음화전도협회, 다락방",통합,1996/81,사이비성,"마귀론, 기성교회 부정적 비판,다락방식 영접"
"류광수세계복음화전도협회, 다락방",합동,1996/81,이단,
"류광수세계복음화전도협회, 다락방",합동,2014/99,이단 재확인관련자 징계,"이단 재확인, 관련자 공직 제한"
"류광수세계복음화전도협회, 다락방",합동,2021/106,이단 유지,
"류광수세계복음화전도협회, 다락방",기성,1997/91,사이비운동,
"류광수세계복음화전도협회, 다락방",기침,1997/87,이단성,
"류광수세계복음화전도협회, 다락방",기감,1998/23,이단,
"류광수세계복음화전도협회, 다락방",기하성여의도,,이단,
"류광수세계복음화전도협회, 다락방",합신개혁,,,
마술,통합,2017/102,교회내 금지,오락은 오락영역에 머물어야 하고진리 선포의 장인 신앙영역 안으로끌고 오면 안됨
몰몬교예수그리스도후기성도교회,합신,1995/80,,"삼위일체부인, 예수의 신성부인,대속부인, 지옥부인"
몰몬교예수그리스도후기성도교회,합신,2024/109,이단재확인,"삼위일체부인, 예수의 신성부인,대속부인, 지옥부인"
몰몬교예수그리스도후기성도교회,고신,2009/59,이단,"삼위일체부인, 예수의 신성부인,대속부인, 지옥부인"
몰몬교예수그리스도후기성도교회,통합,2014/99,이단,"신비주의적 상상력에 기초한 교리,성경의 권위 훼손, 유일신 신앙과신성 부인, 조셉스미스 신격화"
몰몬교예수그리스도후기성도교회,통합,2023/108,99회기 경의유지,
몰몬교예수그리스도후기성도교회,기감,2014/31,이단,
몰몬교예수그리스도후기성도교회,기성기장,,,
문선명통일교(세계평화통일가정연합),통합,1971/56,사이비 종교,전통적인 신학사상과는 극단적으로 다름
문선명통일교(세계평화통일가정연합),통합,1975/60,불인정 집단,"가입 금지, 관련 신문 잡지에 투고 금지"
문선명통일교(세계평화통일가정연합),통합,1976/61,엄하게 치리,"교단화합 교회사명에 장애를 줌, 단호히 경고"
문선명통일교(세계평화통일가정연합),통합,1979/64,기독교 아님,기독교를 가장한 사이비 종교 집단임
